Date,Open,High,Low,Close,Return,Volume
12/2020,159.43,167.53,153.64,162.85,2.145142069,1551607878
11/2020,153.09,168.34,147.51,158.4,3.468547913,1816635875
10/2020,160.4,174.81,150.95,151.81,-5.355361596,2325042247
09/2020,174.48,177.61,143.55,157.44,-9.766162311,2319399308
08/2020,159.03,174.75,153.65,172.55,8.50154059,1670704497
07/2020,137.9,167.21,137.7,158.23,14.74256708,2550271404
06/2020,122.4,139.8,121.86,137.94,12.69607843,1756913195
05/2020,116.84,126.27,112.82,122.12,4.519000342,1652417637
04/2020,96.65,123.75,94.46,123.7,27.98758407,2491633845
03/2020,95.32,99.82,81.3,97.49,2.276542174,3276898614
02/2020,100.53,109.3,90.56,94.19,-6.306575152,1851119514
01/2020,93.75,102.79,90.77,100.44,7.136,1696785016
12/2021,177.25,177.99,165.2,166.72,-5.940761636,1288301522
11/2021,168.09,188.11,164.18,175.35,4.31911476,1516333599
10/2021,164.45,173.95,158.81,168.62,2.535725144,1273614242
09/2021,174.82,177.5,163.7,164.25,-6.046218968,1250802642
08/2021,167.66,173.63,158.79,173.54,3.507097698,1257339462
07/2021,171.73,188.65,165.35,166.38,-3.1153555,1674726917
06/2021,162.17,176.24,158.61,172.01,6.067706728,1340222721
05/2021,174.24,174.33,156.37,161.15,-7.512626263,1503065939
04/2021,155.9,177.7,155.78,173.37,11.20590122,1536871398
03/2021,156.39,159.1,144.05,154.7,-1.080631754,1564099798
02/2021,162.12,171.7,151.84,154.65,-4.607698001,1442356780
01/2021,163.5,168.19,154.3,160.31,-1.951070336,1430476240
12/2022,96.99,97.23,81.69,84,-13.39313331,1549193157
11/2022,103.99,104.58,85.87,96.54,-7.164150399,2035252320
10/2022,113.58,123,97.66,102.44,-9.8080648,1459511636
09/2022,126,136.49,112.06,113,-10.31746032,1210456404
08/2022,134.96,146.57,126.74,126.77,-6.06846473,1170523505
07/2022,106.29,137.65,105.85,134.95,26.96396651,1338005764
06/2022,122.26,128.99,101.43,106.21,-13.12776051,1767977674
05/2022,122.4,126.22,101.26,120.21,-1.789215686,2258475228
04/2022,164.15,168.39,121.63,124.28,-24.28876028,1465136039
03/2022,152.73,170.83,133.57,163,6.724284685,1628590657
02/2022,150,163.83,138.33,153.56,2.373333333,1690134256
01/2022,167.55,171.4,135.35,149.57,-10.73112504,1525571279
12/2023,146,155.63,142.81,151.94,4.068493151,931322334
11/2023,133.96,149.26,133.71,146.09,9.054941774,1026201811
10/2023,127.28,134.48,118.35,133.09,4.564739158,1224706698
09/2023,139.46,145.86,123.04,127.12,-8.848415316,1120523243
08/2023,133.55,143.63,126.41,138.01,3.339573194,1213497022
07/2023,130.82,136.65,125.92,133.68,2.18621006,1058772727
06/2023,120.69,131.49,119.93,130.36,8.012262822,1243071270
05/2023,104.95,122.92,101.15,120.58,14.8928061,1433039165
04/2023,102.3,110.86,97.71,105.45,3.079178886,1224234599
03/2023,93.87,103.49,88.12,103.29,10.035155,1349467002
02/2023,102.53,114,92.32,94.23,-8.095191651,1364198210
01/2023,85.46,103.49,81.43,103.13,20.67633981,1523798377
