Name,Sex,Age,Height1,Weight1,Height2,Weight2,BMI,Team,Year,Season,City,Event,Medal
"Abigail Golda ""Abby"" Hoffman",F,29,175,58.37,68.8975,128.414,19.05959184,CAN,1976,Summer,Montreal,Athletics Women's 800 metres,None
Adrian Prosser,M,19,185,72.1,72.8345,158.62,21.06647188,CAN,1976,Summer,Montreal,"Cycling Men's Team Pursuit, 4,000 metres",None
"Alan ""Al"" Pilcher",M,18,180,70.86,70.866,155.892,21.87037037,CAN,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
"Albin ""Al"" Dukowski",M,22,178,66.07,70.0786,145.354,20.85279636,CAN,1976,Summer,Montreal,Athletics Men's 4 x 100 metres Relay,None
Alex Harvey,M,21,184,76.15,72.4408,167.53,22.49232042,CAN,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
"Alexander Harold ""Alex"" Oakley",M,50,184,68.06,72.4408,149.732,20.10278828,CAN,1976,Summer,Montreal,Athletics Men's 20 kilometres Walk,None
"Alexander Timothy ""Tim"" McKee",M,23,173,70.73,68.1101,155.606,23.63259715,USA,1976,Summer,Montreal,Swimming Men's 400 metres Individual Medley,Silver
Allison Baver,F,29,160,58.53,62.992,128.766,22.86328125,USA,2010,Winter,Vancouver,"Short Track Speed Skating Women's 1,000 metres",None
"Alyson ""Aly"" Dudek",F,19,168,58.36,66.1416,128.392,20.67743764,USA,2010,Winter,Vancouver,Short Track Speed Skating Women's 500 metres,None
Anastasia Winchester Bucsis,F,20,178,67.76,70.0786,149.072,21.38618861,CAN,2010,Winter,Vancouver,Speed Skating Women's 500 metres,None
Andreas John Weigand,M,30,188,85.4,74.0156,187.88,24.16251698,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Doubles, 500 metres",None
"Andrew Kelley ""Andy"" Newell",M,26,178,72.02,70.0786,158.444,22.73071582,USA,2010,Winter,Vancouver,Cross Country Skiing Men's 4 x 10 kilometres Relay,None
Andrs Istvn Tr,M,36,178,69.29,70.0786,152.438,21.86908219,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Doubles, 1,000 metres",None
Angela E. Schmidt-Foster,F,28,172,62.64,67.7164,137.808,21.17360736,CAN,1988,Winter,Calgary,Cross Country Skiing Women's 5 kilometres,None
Angus Gault Morrison,M,24,189,92.1,74.4093,202.62,25.78315277,USA,1976,Summer,Montreal,"Canoeing Men's Canadian Singles, 500 metres",None
Ann Clare Turner,F,19,175,69.61,68.8975,153.142,22.72979592,USA,1976,Summer,Montreal,"Canoeing Women's Kayak Doubles, 500 metres",None
Anne Elizabeth Jardin (-Alexander),F,16,179,77.26,70.4723,169.972,24.1128554,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
Anne Marie Dodge (-Cooper),F,18,178,72.41,70.0786,159.302,22.85380634,CAN,1976,Summer,Montreal,"Canoeing Women's Kayak Doubles, 500 metres",None
Apolo Anton Ohno,M,27,173,69.3,68.1101,152.46,23.15479969,USA,2010,Winter,Vancouver,Short Track Speed Skating Men's 500 metres,None
Ariane Loignon,F,22,164,61.4,64.5668,135.08,22.82867341,CAN,1988,Winter,Calgary,Speed Skating Women's 500 metres,None
Arne Sorensen,M,42,185,80.2,72.8345,176.44,23.43316289,CAN,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",None
Barbara Lynne Clark (-Parolin),F,17,168,62.16,66.1416,136.752,22.02380952,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
"Benjamin Gene ""Benny"" Brown",M,22,180,74.8,70.866,164.56,23.08641975,USA,1976,Summer,Montreal,Athletics Men's 4 x 400 metres Relay,Gold
"Benot ""Ben"" Lamarche",M,21,177,73.65,69.6849,162.03,23.50857033,CAN,1988,Winter,Calgary,"Speed Skating Men's 1,500 metres",None
"Bohdan ""Don"" Domansky",M,29,180,77.86,70.866,171.292,24.0308642,CAN,1976,Summer,Montreal,Athletics Men's 400 metres,None
